# 第一順位：識字,,
軸,じく,
匠,たくみ,
滴',しずく,
舅,しゅうと,
姑,しゅうとめ,
指揮,しき,
刈る,かる,
磁器,じき,
試食,ししょく,
疾病,しっぺい,
失脚,しっきゃく,
臭覚,しゅうかく,
柔軟,じゅうなん,
＊直に,じかに,
＊執拗,しつよう,
＊執着,しゅうじゃく（…）,しゅうちゃく
湿気る,しける,
下請け,したうけ,
淑やか,しとやか,
萎れる',しおれる,
萎びる'',しなびる,
自尊心,じそんしん,
終止符,しゅうしふ,
巧・巧み,たくみ,
付き纏う,つきまとう,
質'・質屋,しち・しちや,
＊＊＊施す,ほどこす,
染み・染みる,しみ,
強いる・強いて,しいる,
,,
,,
# 第二順位：組合動詞,,
,,
,,
# 第三順位：No Memories,,
芝,芝を刈る。,grass n.
示唆,示唆を得る。,hint n./v.
子息,「子息の安否」,"""他人の息子"""
下心,「相手の下心」,thought n.
下火,火事が下火となる。,become weaker
遮断,逃げ道を遮断する。,cut off phrv.
砂利,「砂利道」,"peddle, sand"
＊地道,地道に努力する。,diligently ad.
＊下地,下地を作る。,basis n.
＊持病,「喘息という持病」,chronic disease
＊＊しのぐ1/3,相手を遥かにしのぐ。,surpass v.
＊＊しのぐ2/3,暑さをしのぐ。,tolerate v.
＊＊しのぐ3/3,風雨をしのぐ。,hide v.
＊＊＊＊下取り,洗濯機を下取してもらう。,barter old for new
強いる・強いて,署名を強いる。／強いて「出席しろ」とは言わない。,force v.
＊染み・染みる 1/2,醬油が染みた。,stain n.
＊染み・染みる 2/2,「身に染みる寒さ」,feel v. (deeply)
,,
,,
# 第四順位：Some Memories,,
質疑,質疑を出す。,
試飲,ワインを試飲する。,
指揮,指揮を執る。,
従事,農業に従事する。,
淑やか,「淑やかなお嬢さん」,
萎びる'',葉野菜が萎びた。,
巧・巧み,巧みに仕組まれた詐欺だ。,
,,
,,
# 第五順位: 外來語,,
ジス,ＪＩＳ,
シェア,「6割のシェア」,
ジャンボ,「ジャンボ宝くじ」,= giant
ジャンル,ジャンルに別に分ける。,genre
ジャンパー,ジャンパーを着る。,= jacket
,,
,,
# 第六順位：words with sequential voicing (Rendaku) phenomena,,
,,
,,
# 第七順位（末位）：prefixal/suffixal words,,
～じみる,「汗じみたシャツ」,A full of B
