# 第一順位：識字,,
蔵,くら,
獣',けだもの,
＊桁,けた,
＊茎,くき,
愚痴,ぐち,
下痢,げり,
疑惑,ぎわく,
区画,くかく,
計器,けいき,
測る,はかる,
区間,くかん,
括る,くくる,
首輪,くびわ,
貶す,けなす,
家来,けらい,
激励,げきれい,
結核,けっかく,
結合,けつごう,
欠如,けつじょ,
結成,けっせい,
禁物,きんもつ,
勤労,きんろう,
均衡,きんこう,
傾斜,けいしゃ,
軽率,けいそつ,
軽蔑,けいべつ,
屈折,くっせつ,
軍服,ぐんぷく,
寛ぐ,くつろぐ,
一束,ひとたば,
脇腹,わきばら,
伝染,でんせん,
兼業,けんぎょう,
根性,こんじょう,
＊吟味,ぎんみ,
＊月賦,げっぷ,
＊患う,わずらう,
＊月謝,げっしゃ,
＊欠乏,けつぼう,
＊群集,ぐんしゅう,
切れ目,きれめ,
屈する,くっする,
極めて,きわめて,
煙たい,けむたい,
接待費,せったいひ,
企てる,くわだてる,
蹴飛ばす,けとばす,
煌びやか,きらびやか,
計算高い,けいさんだかい,
＊挫ける・挫く,くじける,
究める・極める,きわめる,
,,
,,
# 第二順位：組合動詞,,
組み込む,,
(食い1/2) 食い＋違う,,
(食い2/2) 食い＋止める,,
(切り1/2) 切り＋抜ける,,
(切り2/2) 切り＋替える,,
,,
,,
# 第三順位：No Memories,,
桁,「３桁(さんけた)の数」,digit
切り,切りをつける。,end n.
均質,「均質な材料」,same-quality
区画,「行政区画」／区画される。,divide / division
首輪,ー,necklace
ぐる,ぐるになる。,= 仲間
群集,アリが群集する。,gather v.
脇腹,ー,armpits
愚痴,愚痴をぶつぶつ言う。,bullshit 
計器,計器で測る。,calculator
軽減,苦痛を軽減する。,ease v.
月謝,月謝を払う。,monthly fee
月賦,月賦で車を買う。,on monthly installments (ad.)
欠乏,運営資金が欠乏する。,lack v.
家来,忠実な家来が主君を守った。,servant
下痢,「下痢止め薬」,diarrheal
検閲,検閲に引っ掛かる。,censorship n.
減給,経営不振で減給される。,cut salary
兼業,喫茶店と花屋を兼業する。,do part-time job
＊欠如,常識が欠如している。,lack v.
＊吟味,材料をよく吟味する。,choose ... carefully
＊結成,新しくバンドを結成する。,form v.
刑務所,ー,prison
屈する,誘惑に屈する。,give up
ぐっと,利益がぐっと上がった。,suddenly ad.
疑惑1/2,「収賄疑惑」,suspension
＊清らか,「清らかな乙女」,pure
＊切れ目,「カーテンの切れ目」,cut place; paragraph
＊キレる,頭がキレる。,clever
計算高い,「計算高い人」,calculating a.
ゲラゲラ,ゲラゲラ笑う。,(laugh +) out loud
食い違う,言い分が食い違う。／見積書と食い違う。,= 違う
くっきり,くっきりした足跡を残す。,clear a.
＊括る1/3,花を一束(ひとたば)に括る。,arrange ... in a bunch
　括る2/3,括弧で括る。,enclose (in parentheses)
＊括る3/3,首を括る。,hang oneself
＊口ずさむ,小声で子守唄(こもりうた)を口ずさむ。,hum v. ... softly
＊げっそり,心労でげっそり痩せる。,becom extremely (thin/disappointed)
＊組み込む,予算に接待費(せったいひ)を組み込む。,incorpolate v. ... into ...
食い止める,インフレの進行を食い止める。,= 止める
＊切り抜ける,難局を切り抜ける。／いくつもの嵐を切り抜けてきた。,breakthrough
ぐちゃぐちゃ,道がぐちゃぐちゃになった。,messy a.
挫ける・挫く,足首が挫ける。／手首を挫く。,sprain v.
＊＊ぐっしょり,雨に降られてぐっしょり濡れた。,( get wet + ) entirely ad.
＊＊＊＊ぐったり,残業でぐったりとなって帰ってきた。,tiredly ad.
＊＊＊＊くすぐる1/2,脇腹(わきばら)をくすぐる。,tickle v.
＊＊＊＊くすぐる2/2,人の虚栄心をくすぐる。,trigger v.
＊＊＊＊＊くしゃくしゃ,紙をくしゃくしゃに丸める。,... to a chaotic shape/status
,,
,,
# 第四順位：Some Memories,,
茎,「花の茎」,
蔵,蔵を建つ。,
屈折,「屈折の多い山道」,
欠員,欠員を補う。,
結核,結核を患(わずら)う。,
患う,結核(けっかく)を患う。,
権威,「経済学の権威」,
結合,二つのものを結合する。,
言行,「言行一致」,
器量,「政治家としての器量」,
気力,気力を取り戻す。,
禁物,喫煙するのは禁物だ。,
均衡,均衡を保つ。,
勤労,「勤労な民」,
群衆,「群衆の中の悩み」,
区間,「乗車区間」,
敬遠,部下たちに敬遠される。,
軽快,「軽快な足取り」・「軽快な音楽」,
軽蔑,根性が卑しいから軽蔑する。,
言及,敏感な話題には言及しない。,
傾斜,屋根が傾斜している。,
形成,「塩分の形成」,
形勢,形勢が有利になる。,
軽率,「軽率な行為」,
形態,「家族形態」・「雇用形態」,
経費,物価高で経費がかさむ。,
経路,「伝染経路」,
伝染,インフルエンザに伝染された。,
激励,部下を激励する。,
感染力,「強い感染力」,
煙たい,部屋が煙たい。,
企てる,自殺を企てる。,
疑惑2/2,疑惑を解く。,
煌びやか,「煌びやか衣装」,
切り開く,ー,
切り替える,話しを切り替える。,
原型・原形,原形を保つ。／原型が必要だ。,
究める・極める,学問を究める。・山を極める。・真相を究める。,
,,
,,
# 第五順位: 外來語,,
口コミ,口コミで客が集まる。,"""word of mouth"""
ケーブルカー,ー,cable car
,,
,,
# 第六順位：words with sequential voicing (Rendaku) phenomena,,
軍服,,
計算高い,,
,,
,,
# 第七順位（末位）：prefixal/suffixal words,,
