# 第一順位：識字,,
杖,つえ,
蔓,つる,
艶,つや,
綱,つな,
＊乳,ちち,
～賃,ちん,
点く,つく,
摘む,つむ,
次ぐ,つぐ,
吊る,つる,
勤め,つとめ,
包み,つつみ,
呟く,つぶやく,
秩序,ちつじょ,
吊革,つりかわ,
賃金,ちんぎん,
通帳,つうちょう,
追求,ついきゅう,
＊着々,ちゃくちゃく,
努める,つとめる,
釣り銭,つりせん,
突っ込む,つっこむ,
中途半端,ちゅうとはんぱ,
＊＊費やす,ついやす,
突き当たる,つきあたる,
尽くす／尽きる,つくす／つきる,
,,
,,
,,
,,
# 第二順位：組合動詞,,
付け＋加える,一言付け加える。,add(v.)
(突き1/2) 突き＋当たる,壁に突き当たる。／問題に突き当たった。,run into(phrv.)
(突き2/2) 突っ＋込む,,
(使い1/2) 使い＋果たす,燃料を使い果たした。,run out of(phrv.)
(使い2/2) 使い＋分け,「言葉の使い分け」,difference in language usage
,,
# 第三順位：No Memories,,
綱,船を岸に綱で繋(つな)いだ。,rope(n.)
吊革,電車の吊革に掴まって立っていた。,strap handle (n.) (in the train)
つや,磨いてつやが出す。,gloss finish (n.)
勤め,勤めに出る。,Go to work.
通帳,「貯金通帳」,bankbook(n.)
＊賃金,「賃金標準」,wage(n.)
チリ紙,,"toilet paper, often used for wiping or cleaning"
勤め先,勤め先はどこ？,"""the place to work"""
＊ちぎる,彼はパンをちぎって子供に渡した。,rip off(phrv.)
使い分け,「言葉の使い分け」,difference in language usage
力づける,彼の言葉に力づけられた。,encourage(v.)
力づく(で),力づくでドアをこじ開けた。,強引に(ad.)
＊つぶやく,不平をつぶやく。,mutter(v.)
付け加える,一言付け加える。,add(v.)
＊＊つくづく,つくづくと見る。,closely(ad.) / with full attention(ad.)
＊突き当たる,壁に突き当たる。／問題に突き当たった。,run into(phrv.)
(＊つまみ1/2),つまみを回す。,knob(n.)
(＊つまみ2/2),「ビールのつまみ」,snack(n.)
＊＊＊つまずく,石につまずいて転ぶ。,He trips over a stone and falls.
＊チラッと／ちらりと,彼女の顔をちらりと見た。,I glanced briefly at her face.
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
# 第四順位：Some Memories,,
次ぐ,「アメリカに次ぐ先進国」,
中途半端,仕事を中途半端で投げ出す。,
,,
,,
,,
# 第五順位: 外來語,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
# 第六順位：words with sequential voicing (Rendaku) phenomena,,
力づく,,
チリ紙,,
通行止め,,
～付ける,,
,,
,,
,,
,,
,,
,,
# 第七順位（末位）：prefixal/suffixal words,,
～着,,"""Quantifier for clothes"""
～賃,「家賃」／「手間賃」,fee(n.)
～っこ,「にらめっこ」／「駆けっこ」／「けんかっこ」,"racing(n.), game(n.), etc."
～包み,「二包み」,packet(n.)
～ちぎる,「褒めちぎる」,do ... exaggeratedly(ad.)
～付ける,「関係づける」／「義務づける」,...
