# 第一順位：識字,,
札,ふだ,
＊節,ふし,
＊縁,ふち,
保守,ほしゅ,
分布,ぶんぷ,
坊や,ぼうや,
弁論,べんろん,
方角,ほうがく,
牧畜,ぼくちく,
包帯,ほうたい,
紛失,ふんしつ,
分担,ぶんたん,
分配,ぶんぱい,
並行,へいこう,
平米,へいべい,
並列,へいれつ,
返却,へんきゃく,
＊打つ',ぶつ,
＊方々,ほうぼう,
＊沸騰,ふっとう,
＊返済,へんさい,
＊退く,しりぞく,
＊居住,きょじゅう,
振るう,ふるう,
干し物,ほしもの,
不確か,ふたしか,
暴風雨,ぼうふうう,
暴風雪,ぼうふうせつ,
＊＊平凡,へいぼん,
＊老ける,ふける,
＊不作法,ぶさほう,
＊隔たる,へだたる,
噴き出す,ふきだす,
震わせる,ふるわせる,
放り込む,ほうりこむ,
坊主・坊さん,ぼうず,
塞がる・塞ぐ,ふさがる,
膨れる・膨らむ・膨らます,ふくれる,
,,
,,
# 第二順位：組合動詞,,
噴き出す,,
振り込む,,
踏み切る,,
膨れ上がる,,
(放り1/2) 放り＋込む,,
(放り2/2) 放り＋出す,,
,,
,,
# 第三順位：No Memories,,
札,「値段を書いた札」,tag (n.) / note (n.)
＊節,節が痛む。,joints (n.)
へそ,ー,belly button (n.)
紛失,「紛失物」／財布を紛失した。,lose (v.)
退く,社長の座を退いた。,"step down from (phrv.), = 引退"
＊＊縁,「メガネの縁」,rim (n.) / margin (n.)
＊方々,方々探し回る。,here and there (ad.)
干し物,干し物を取り込む。,dried goods/clothes (n.)
　振る1/3,手を振って見送る。,wave (v.)
＊振る2/3,塩を振る。,sprinkle (v.)
隔たる1/3,年月が隔たる。,pass (v.)
隔たる2/3,意見が隔たる。,differ (v.)
隔たる3/3,仲が隔たる。,( They + ) drift apart (phrv.)
＊閉口2/2,騒音に閉口する。,get annoyed
＊振り込む,授業料を銀行口座に振り込む。,transfer (v.) ( + fee(n.) )
＊ぶらぶら,足をぶらぶらさせる。・ぶらぶらと散歩する。,leisurely (ad.); (leisurely) swing
膨れ上がる,腹が膨れ上がる。／予算が膨れ上がる。,stretch (v.)
＊振るう1/3,拳を振るう。／腕を振るう。,swing(v.)/wave(v.) ( + fist(n.)/arm(n.) )
＊振るう2/3,暴力を振るう。,use(v.)
＊振るう3/3,商売が振るう。,thrive(v.)
＊＊膨れる2/2,彼は膨れて何もしゃべらない。,"""keep a stiff face"""
＊ぶつぶつ1/2,顔にニキビがぶつぶつできている。,(acne) all over (the face)
＊ぶつぶつ2/2,ぶつぶつ言う。,mutter (v.) / grumble (v.)
＊放り出す1/2,カバンを放り出す。／仕事を放りだす。,put ... away (phrv.)
＊放り出す2/2,秘書を放り出す。,dismiss (v.)
＊＊＊ぼーっと,目がぼーっとかすむ。,dimly (ad.) / hazily (ad.)
＊＊ペコペコ1/2,上役にぺこぺこする。,= 取り入る
＊＊＊＊ふんだんに,時間はふんだんにある。,abundantly (ad.)
　踏み切り・切る 2/3,彼は踏み切りのタイミングがうまい。,<Sports> takeoff (n.)
＊踏み切り・切る 3/3,政府は増税に踏み切った。,determine (v.)
＊＊塞がる・塞ぐ 2/3,手が塞がっている。／席が塞がった。／電話が塞がる。／大半の紙面を塞ぐ。,occupy (v.)
＊＊塞がる・塞ぐ 3/3,目を塞がる。／目を塞ぐ。,close (v.)
　ぶつかる・ぶつける 1/4,壁にぶつかった。,hit (v.)
　ぶつかる・ぶつける 2/4,ラッシュにぶつかった。,= meet (v.) (+ a jam / rush)
＊ぶつかる・ぶつける 3/4,本人に直接ぶつかる。／上司に自分の意見をぶつける。,contact (v.); express (v.)
＊ぶつかる・ぶつける 4/4,両親とぶつかる。,have conflicts with ...
＊ぶら下がる・ぶら下げる,枝にぶら下がる。／カバンをぶら下げる。／勲章をぶら下げる。,hang (v.)
,,
,,
# 第四順位：Some Memories,,
包帯,包帯を巻く。,
方角,「南の方角」,
閉鎖,工場を閉鎖する。,
返却,図書を返却する。,
物騒,「物騒な世の中」／「物騒な人物」,
分野,「専門分野」,
平米,「二百平米」,
返答,早く返答する。,
弁論,「弁論大会」,
ふと、,ふと、目が覚めた。,
不作法,「不作法な子」,
文化財,文化財を保護する。,
振る3/3,彼女に振られた。,
噴き出す,温泉が噴き出す。,
放り込む,引き出しに放り込む。,
膨れる1/2,風船が膨れる。,
ペコペコ2/2,おなかがペコペコだ。,
坊主・坊さん,あの人は坊主 / 坊さんだ。,
塞がる・塞ぐ 1/3,排水管を塞がった。／穴を塞ぐ。／気が塞ぐ。,
踏み切り・切る 1/3,踏み切りで電車が通るのを待っていた。,
,,
,,
# 第五順位: 外來語,,
＊ペンチ,= tweezer (n.),
ブローチ,"""an ornament fastened to clothing with a hinged pin and catch""",
ベテラン,「ベテラン社員」／「ベテラン選手」,"veteran (a.), = experienced (a.)"
フライパン,fry pan (n.),
フロント1/2,「フロントガラス」,front-
フロント2/2,フロントで勘定する。,front desk (n.)
ペットボトル,PET bottle (n.),
＊ペースト1/2,paste (n.),
フリーダイヤル,ご注文はフリーダイヤルでどうぞ。,free dial (n.)
,,
,,
# 第六順位：words with sequential voicing (Rendaku) phenomena,,
付属,,
双子,,
方角,,
分配,,
分布,,
不作法,,
振り仮名,,
,,
,,
# 第七順位（末位）：prefixal/suffixal words,,
＊ふとした～,「ふとした怪我」／「ふとしたチャンス」,= 偶然
