# 第一順位：識字,,
丼,どんぶり,
＊峠,とうげ,
～版,ばん,
～棟,とう,
梳く,とく,
採る,とる,
捕る,とる,
手品,てじな,
適確,てきかく,
適切,てきせつ,
手拭,てぬぐい,
童謡,どうよう,
転々,てんてん,
同居,どうきょ,
導入,どうにゅう,
＊伝言,でんごん,
＊侮る,あなどる,
～通す,とおす,
遂げる,とげる,
唐辛子,とうがらし,
登下校,とうげこう,
＊＊養う,やしなう,
退かす／退ける,どける,
,,
,,
# 第二順位：組合動詞,,
照り＋返す,,
溶け＋込む,,
(取り1/11) 取り＋上げる,,
(取り2/11) 取り＋入れる,,
(取り3/11) 取り＋替え/換え (る),,
(取り4/11) 取り＋掛かる,,
(取り5/11) 取り＋組む,,
(取り6/11) 取り＋込む,,
(取り7/11) 取り＋締り／締まる,,
(取り8/11) 取り＋次ぐ,,
(取り9/11) ＊取り＋付ける,,
(取り10/11) 取り＋戻す,,
(取り11/11) 取り＋入る,,
,,
,,
# 第三順位：No Memories,,
峠,この峠を越えれば村に着く。,mountain pass (n.)
灯台,ー,lighthouse(n.)
手拭,ー,"""a traditional Japanese decorative 
  towel made from a thin and light cotton"""
と、 ,部屋は静かだ。と、声を聞こえた。,Then
適確,「適確な判断」,appropriate(a.)
出来,「米の出来」,harvest(n.)
適切,適切さを欠く。,appropriate(a.)
転回,方向を右に転回する。,change(v.) (direction)
転々,彼は職を転々と変えている。,frequently(ad.)
投書,新聞に投書する。,write letters (to ...)
独学,中国語を独学する。,self-study (v.)
＊手軽,手軽に済ませる。,easy(a.)/easily(ad.)
＊手本,我々の手本となる。,example(n.) / model(n.)
＊手当,「出張手当」,allowance(n.)
＊届け,「欠席届け」／届けを出す。,"notice(n.) / report(n.) ""a submission"""
＊手品,「手品師」,magic(n.)
手触り,「柔らかい手触り」,(feeling of) touch(n.)
手数料,手数料を支払う。,handling charge(n.) / commission(n.)
遂げる,目的を遂げた。,achieve(v.)
＊＊手頃,「手頃なサイズ」,reasonable(a.) / convenient(a.)
＊どっと,疲れがどっと出た。,suddenly(ad.)
＊とかく,人はとかく他人と比べたがるものだ。,tend to
照り返す,路面が日差しを照り返す。,reflect(v.)
取り入る,社長にうまく取り入って昇進したらしい。,get along well with ... / curry favor with ...
取り組む,新しいプロジェクトに取り組んでいる。,work on(phrv.)
＊＊手取り,手取りで三十万円になる。,take-home pay (n.)
取り掛かる,仕事に取り掛かる。,(ready to) Get to work.
＊＊＊手ぶり,手ぶりを交(まじ)えて話す。,hand gesture (n.)
＊どことなく,彼の話し方は、どことなく上品だ。,somehow(ad.)
＊どっちみち,どっちみち間に合わないから、急がなくていいよ。,= どのみち／どうせ
(取り次ぐ1/2),要件を取り次ぐ。,impart(v.) / convey(v.)
(取り次ぐ2/2),担当者にお電話を取り次ぎます。,transfer (+calls to ...)
どかす／どける,石をどかす／どける。,move(v.)
(取り上げる1/2),この番組では環境問題を取り上げています。,focus on ... issues
(取り上げる2/2),彼の意見は会議で取り上げられた。,take up(phrv.) / adopt(v.)
(取り入れる1/2),稲を取り入れる。,harvest(v.)
(取り入れる2/2),外国の文化を積極的に取り入れている。,adopt(v.)
(取り付ける1/2),アンテナを取り付ける。,install(v.)
(取り付ける2/2),同意を取り付ける。,attain(v.)
＊とは言いつつも,便利になったとは言いつつも、不便を感じることもある。,= とは言え
取り締り／締まる,「取締役」／「代表取締役」／会社の業務を取り締まる。,supervise(v.) / director(n.)
取り替え/換え (る),「電池の取り替え」／電池を取り替える。,replace(n.)
,,
,,
# 第四順位：Some Memories,,
共稼ぎ,共稼ぎで一家を養う。,
共働き,「共働きの家庭」,
溶け込む,塩分が水に溶け込んだ。,dissolve(v.)
,,
,,
# 第五順位: 外來語,,
デモ,デモを開く。,protest(n.) / demostration(n.)
ドリル,「漢字ドリル」,"""A type of practice, perform repeatedly"""
トレイ,ー,tray(n.)
,,
,,
# 第六順位：words with sequential voicing (Rendaku) phenomena,,
手軽,,
手品,,
定休日,,
手触り,,
手取り,,
唐辛子,,
共働き,,
,,
,,
# 第七順位（末位）：prefixal/suffixal words,,
～通す,「読み通す」／「走り通す」,(do ...) to the end (ad.)
～というと,京都というと、お寺や神社を思い浮かべますね。,speaking of ... (prep.)
＊～というのは,SDGsというのは、持続可能な開発目標のことです。,refers to (phrv.)
