# 第一順位：識字,,
笛,ふえ,
不可,ふか,
非行,ひこう,
筆記,ひっき,
悲惨,ひさん,
一目,ひとめ,
比率,ひりつ,
被災,ひさい,
人目,ひとめ,
広々,ひろびろ,
一息,ひといき,
頻繁,ひんぱん,
肥料,ひりょう,
微笑,びしょう,
描写,びょうしゃ,
＊比例,ひれい,
＊披露,ひろう,
～深い,ぶかい,
殖える,ふえる,
密やか,ひそやか,
等しい,ひとしい,
必需品,ひつじゅひん,
＊＊便箋,びんせん,
＊不可欠,ふかけつ,
＊人一倍,ひといちばい,
＊日増しに,ひましに,
,,
,,
# 第二順位：組合動詞,,
(引き1/9) 引き＋上げる,,
(引き2/9) 引き＋下げる,,
(引き3/9) 引き＋出す,,
(引き4/9) 引き＋続き,,
(引き5/9) 引き＋止める,,
(引き6/9) 引っ＋掛かる/掛ける,,
(引き7/9) 引っ＋繰り＋返る/返す,,
(引き8/9) 引っ＋込む,,
(引き9/9) 引っ＋張る,,
,,
,,
# 第三順位：No Memories,,
非行,非行を暴く。,misconduct (n.)
被災,「被災状況」,disaster ( . )
＊日頃,「日頃の積み」,daily (a.)
＊広々,「広々としたホール」,spacious (a.)
＊表紙,ー,cover (n.)
披露宴,披露宴を用意する。,wedding reception (n.)
等しい,面積が等しい。,equal (a.)
皮肉る,世相を皮肉る。,satirize (v.)
人一倍,人一倍働く。,harder than anyone else (ad.)
＊人通り,人通りが激しい。,'people walking around'
＊ひねる,スイッチをひねる。,= 捩る
日増しに,日増しに寒くなる。,day by day (ad.)
日の入り,ー,sunset (n.)
(＊一息1/2),一息つく。,Take a breath.
(＊一息2/2),一息に飲み干(ほ)す。,in one go (ad.)
＊引っ込む,田舎に引っ込む。,retreat (v.)
＊びくびく,叱られるかとびくびくする。,be nerveous about...
ひとりでに,扉がひとりでに開いた。,automatically (ad.)
＊引き止める,客を引き止める。,retain (v.)
(＊一通り1/3),一通り目を通す。,roughly (ad.)
(＊一通り2/3),一通りの努力ではない。,common (a.)
(　一通り3/3),やり方は一通りではない。,one ( . )
ひそか / 密やか,ひそかに会う。／「密やかな夜道」,secret (a.) / silent (a.)
(　引っ張る1/2),電話線を引っ張る。,pull (v.)
(＊引っ張る2/2),警察に引っ張られる。,get pulled over by ...
(＊引き上げる1/2),部隊を引き上げる。,withdraw (v.)
(＊引き下げる1/2),車を引き下げる。／提案を引き下げる。,withdraw (v.)
(＊引っ掛かる / 掛ける1/3),ハンガーにコートを引っ掛ける。,hang (v.)
(＊引っ掛かる / 掛ける2/3),女の子を引っ掛ける。,= ナンパ
(＊引っ掛かる / 掛ける3/3),釘に引っかかる。／自転車が人を引っ掛ける。／詐欺に引っ掛かった。,get caught by ... (phrv.)
(　引っ繰り返る / 返す1/2),試合が引っ繰り返る。／形勢を引っ繰り返す。／茶碗が引っ繰り返る。／茶碗を引っ繰り返す。,turn ... upside down (phrv.)
(＊引っ繰り返る / 返す2/2),順番を引っ繰り返す。,reverse (v.)
,,
,,
# 第四順位：Some Memories,,
人目,人目を避ける。,
非常勤,「非常勤社員」,
不可欠,「不可欠な条件」,
引き出す,本棚から本を引き出す。,
びしょびしょ,全身がびしょびしょだ。,
(引き上げる2/2),価格を引き上げる。,
(引き下げる2/2),価格を引き下げる。,
,,
,,
# 第五順位: 外來語,,
ブーツ,ー,= 長靴
ブーム,「ペットブーム」／ブームに乗る。,hit (n.) / sensation (n.)
ビニール,「ビニール袋」,= plastic (n./a.)
＊ピンセット,ー,"tweezer (n.), ""a small piece of equipment made of two narrow strips of metal joined at one end"""
ビニールハウス,ー,= greenhouse (n.)
,,
,,
# 第六順位：words with sequential voicing (Rendaku) phenomena,,
必需品,,
引っ張る,,
人込み / 人混み,,
人通り,,
独り言,,
頻繁,,
広々,,
～深い,,
,,
,,
# 第七順位（末位）：prefixal/suffixal words,,
～深い,「毛深い」／「印象深い」,heavy (a.) ...
