# 第一順位：識字,,
位,くらい,
嘴,くちばし,
潜る,くぐる,
漁船,ぎょせん,
口数,くちかず,
玄人,くろうと,
口調,くちょう,
漁業,ぎょぎょう,
居住,きょじゅう,
供給,きょうきゅう,
悔いる,くいる,
咥える,くわえる,
加わる,くわわる,
句読点,くとうてん,
,,
,,
# 第二順位：組合動詞,,
,,
,,
# 第三順位：No Memories,,
潜る,法の網を潜る。,escape v.
＊玄人,「玄人も顔負けするほどの腕前」,expertiser n.
悔いる,前非を悔いる。,regret v.
区切る,前期、中期と後期に区切る。,divide v.
位する,中国の沿海部に位する。,locate v.
車椅子,「車椅子の人」,disability n.
切れ1/2,「切れのいい包丁」,sharp a.
切れ2/2,「紙切れ」,little piece
口数1/2,口数が少ない。,word n.
口数2/2,「家族の口数」,head count n.
くしゃみ,くしゃみをする。,sneezing n.
＊咥える,煙草を咥えてる。,hold(v.) ... in the mouth
＊ぐずつく,何をしてもぐずつく。,act slowly v.
＊くたくた,一日歩き続けてもうくたくただ。,excausted a.
＊くつろぐ,「くつろいだ雰囲気」,confortable a.
＊くよくよ,つまらないことにくよくよする。,unhappy a.
＊くるくる,くるくると働く。,hard ad.
＊ぐうぐう1/2,ぐうぐう眠る。,soundly ad.
＊くたびれる1/2,歩き回ってくたびれた。,get excausted
＊くたびれる2/2,「くたびれた背広」,worn-out a.
＊くじ・くじ引き,くじを引く。／くじ引きで順番を決める。,lottery n.
くっつく・くっつける 1/2,ガムが服にくっつく。／胸に名札をくっつける。,stick v.; firm v.
くっつく・くっつける 2/2,仲間にくっつける。,recruit v.
,,
,,
# 第四順位：Some Memories,,
位,「百の位」／「王の位」,
ぐうぐう2/2,おなかがぐうぐう鳴る。,
,,
,,
# 第五順位: 外來語,,
クラクション,クラクションを鳴らす。,horn(n.)
,,
,,
# 第六順位：words with sequential voicing (Rendaku) phenomena,,
前非,,
区切る,,
,,
,,
# 第七順位（末位）：prefixal/suffixal words,,
～切れ,時間切れだ。,run out of ...
